Matthew Carter$Vilecrest Family$Richard Stewart                                  $1{Robert Rogers,Kevin Green,Brandon Edwards,Joseph Campbell,Gary Nelson}$Benjamin Rogers|Daniel Baker|Jason Morris|Steven Collins|Edward Rivera|Joshua Stewart|Larry Perez|Brian Evans|Nicholas Bell|Kenneth Rogers|Timothy Howard|Joseph Wright
Robert Wright$Darkshade Family$Michael Cook                                     $7{Larry Reed,Kenneth Rogers,Jeffrey Bailey,Eric Sanchez,Jason Turner,Joseph Turner,Scott Howard,George Cook,Joshua Stewart,Anthony Baker,Samuel Turner,Robert Morgan,Matthew Carter,Daniel Baker,Matthew Evans}$Justin Nelson|Benjamin Adams|James Baker|Steven Edwards|Robert King|James Cook|Brandon Edwards|Timothy Howard|Samuel Nelson|Thomas Carter|Brian Evans|Brian Scott|Brandon Rogers|Jason Rogers|Robert Phillips|Kevin Turner|Gary Nelson
William Murphy$Frostglen Family$Brian Black                                      $1{Thomas Sanchez,Larry Perez,Brian Evans,Samuel Young,Jacob Sanchez}$Justin Mitchell|Brian King|Gary Nelson|Brian Black|Robert Rogers|Samuel Bailey|Jacob Adams|Anthony Green|Samuel Nelson|Joseph White|David Adams|Matthew Adams|Jacob Mitchell|Matthew Evans|James Baker|George Bell
Robert Stewart$Bloodfen Family$Gary Bell                                        $3{Benjamin Perez,Charles Morris,Matthew Adams,Thomas Wright,Daniel Sanchez,William Evans,George King,Gary Nelson,Brandon Edwards,Samuel Young,James Baker,Kevin Turner,David Bell,Stephen White,Ryan Reed,Steven Edwards,Joshua Stewart,Benjamin Rogers,Andrew Edwards}$Kenneth Sanchez|Eric Sanchez|Larry Harris|Edward Phillips
Benjamin Adams$Cinderwick Family$Jeffrey Bailey                                   $2{Eric Sanchez,Robert King,Steven Collins,Brandon Rogers,David Bell,Timothy Howard}$Kevin Howard|Jonathan Howard|Kevin Rivera|Larry King|Ryan Black|Stephen White|James Baker|Gary Reed|Michael Reed|George Cook|Brian Black|Daniel Sanchez|Larry Perez|Anthony Green|Benjamin Rogers|Matthew Carter|Brian King
Joseph Carter$Wraithfall Family II$David Bell                                       $0{Joseph Turner,Ryan Collins,Anthony King,Robert Phillips,Ryan Reed,Daniel Sanchez,William Murphy,James Perez,Richard Stewart,Larry Perez,Kenneth Rogers,Brian Scott,Brian Black}$Edward Harris|Jonathan Harris|Steven Green|Mark Rivera|Larry Reed|Brian Parker|Kevin Rivera|Kevin Turner|Michael Sanchez|Justin Mitchell|Benjamin Adams|Nicholas Bell|George Cook|Justin Young|Edward Rivera|Jacob Mitchell
Michael Cook$Ruinspire Family II$Mark Campbell                                    $1{Robert Stewart,Eric Perez,Robert Phillips,Edward Phillips,James Adams,Benjamin Adams,Kevin Green,Larry King,James Cook,Joseph Wright,Edward Rivera,Brandon Stewart,Joseph Campbell,Stephen Scott,Samuel Turner,Kevin Miller,Anthony Green,Ryan Reed,Robert Rogers}$Michael Reed|Joseph Cooper|Jonathan Nelson|Jeffrey Bailey|Joshua Stewart|Joseph White|Brandon Young|Brian King|Daniel Sanchez|Charles White|Steven Green|Jason Cook|Scott Howard|Timothy Howard|Larry Reed
Joseph Cooper$Ashenmere Family$Joseph White                                     $5{David Bell,Jason Turner,Larry Reed,James Cook,Kenneth Sanchez,Brandon Young,Brandon Parker,Ryan Black,Jason Morris}$Mark Campbell|Robert Wright|Robert Rogers|Brian King|Nicholas Turner|Brian Scott|Larry Perez|Edward Rivera|Steven Green|Kevin Howard|William Evans|Joseph Campbell
Thomas Miller$Ruinspire Family II$Larry Hill                                       $8{Kevin Miller,Kevin Howard,Brandon Stewart,Mark Black,Justin Nelson,Larry Harris,Robert King,James Adams,Ryan Collins,Jonathan Nelson,Gary Nelson}$Larry King|Anthony King|George Bell|Kenneth Sanchez|Larry Reed|Robert Stewart|Stephen Scott|Brian Parker|Thomas Reed|Jason Cook|Richard Stewart|Charles White|Anthony Baker
Jason Turner$Blackspire Family$Robert Phillips                                  $7{Kenneth Rogers,James Baker,Samuel Bailey,Anthony Green,Brandon Young,Matthew Miller,Ryan Black,Steven Collins,William Roberts,Benjamin Stewart}$Thomas Reed|Brian Scott|Thomas Wright|Kevin Turner|David Bell
Kevin Stewart$Graveshade Family$Kenneth Sanchez                                  $2{Robert King,Jason Morris,Steven Edwards,Samuel Nelson}$Timothy Howard|James Cook|Kevin Turner|Stephen White|Anthony Green|Robert Wright|Jacob Mitchell
Thomas Wright$Rotspire Family II$Paul Murphy                                      $5{Charles White,Thomas Sanchez,Samuel Turner,Kevin Howard,Steven Collins,Mark Black,Larry Harris,Michael Sanchez,Matthew Miller,Anthony Baker,Brandon Edwards,Brandon Rogers}$Benjamin Perez|Donald Walker|Matthew Evans|Timothy Howard|Justin Young|Jacob Mitchell|Paul Stone|George Cook|Jason Green|Gary Nelson|Larry King|Kenneth Rogers|Edward Harris|Ryan Reed|Brian Parker|Larry Reed|James Bell
Jacob Mitchell$Coldwick Family$David Bell                                       $5{Jacob Adams,Richard Stewart,Brian King,James Wright,Jeffrey Bailey,James Adams}$Joshua Stewart|Paul Stone
George Bell$Wraithfall Family II$Brian Scott                                      $8{Jason Morris,Jason King,Robert Phillips,Anthony Green,Samuel Young,Jason Turner,Richard Stewart,Justin Nelson,William Roberts,Thomas Reed,George King,Jacob Mitchell,Robert Rogers,Jacob Green,Robert Stewart,Thomas Wright,Kevin Miller}$Jacob Reed|Robert Wright|Justin Young|Joseph Campbell|Donald Walker
Gary Bell$Wraithmoor Family$Jacob Mitchell                                   $5{Jacob Reed,Robert Phillips,Larry Reed,Jonathan Nelson,Eric Sanchez,Kevin Stewart}$Brian King|Daniel Baker|Benjamin Rogers|William Evans|Jeffrey Bailey|Edward Phillips|Brandon Young|Kevin Miller
Benjamin Stewart$Bloodfen Family$Nicholas Turner                                  $2{Robert Morgan,David Adams,Mark Black,Paul Stone,Thomas Miller,Gary Nelson,Paul Stewart,Jason Cook,Brian Black,Andrew Edwards,Jonathan Nelson,Charles White,Kenneth Rogers,Robert Phillips}$Justin Nelson|George Bell|George Cook|Anthony Baker|William Roberts|Samuel Bailey|Kevin Rivera|Brian Evans
Larry Harris$Deadspire Family$Joseph Cooper                                    $3{Thomas Lopez,Kevin Turner,Nicholas Bell,Samuel Nelson,Robert Rogers,Brian Black,George Cook,Edward Rivera,Jason Rogers}$James Wright|Benjamin Rogers|Thomas Reed|Matthew Miller|Larry Reed|Brandon Stewart|James Baker|Anthony King|Jonathan Nelson|Larry King|Jonathan Howard|Robert Stewart|Michael Reed|James Cook
Scott Howard$Ironshade Family II$Jason Cook                                       $8{William Roberts,Edward Phillips,Brandon Stewart,Jonathan Harris,Gary Bell,Jonathan Howard,Larry Harris,Matthew Evans,Nicholas Turner,Ryan Reed,Jeffrey Bailey,George Bell,Benjamin Adams,Eric Sanchez,Brian Scott,Justin Mitchell,Joseph Cooper,James Perez}$Jason Turner|Eric Perez|Timothy Howard|Larry Reed|Matthew Carter|Samuel Bailey|Brandon Young|Kenneth Sanchez|Kevin Howard|Jason King|Kevin Stewart
Benjamin Rogers$Blackspire Family$Jonathan Nelson                                  $5{Kevin Stewart,Larry Harris,James Adams,Matthew Miller,Ryan Collins,George Cook,Nicholas Bell,Thomas Reed}$Brandon Stewart|Michael Sanchez|Paul Stewart|Samuel Turner|Brian Scott|Stephen White|Matthew Evans|Kenneth Sanchez
Edward Harris$Darkshade Family$Steven Green                                     $4{Daniel Baker,Jacob Mitchell,Matthew Adams,Robert King,Jonathan Harris,Jeffrey Bailey,Jason Morris,Kenneth Rogers,Brian Black,Anthony Baker,Gary Bell,Larry Harris,James Baker,Charles White}$Matthew Black|Joseph Campbell|Kevin Miller|Michael Cook|Michael Sanchez|Gary Nelson
Anthony Roberts$Darkmoor Family$Joshua Stewart                                   $8{Brandon Parker,Gary Nelson,Edward Phillips,Joseph Cooper,Jonathan Nelson,Brandon Young,Benjamin Stewart,Thomas Miller,Steven Edwards,Mark Campbell,Mark Black,Ryan Collins,Kevin Miller,George King,Ryan Black,Kevin Stewart,Robert King}$Brandon Collins|James Bell|Stephen Scott|Kenneth Rogers|William Roberts|Samuel Turner|Jason Cook|Joseph White|Kevin Green|Jason Morris|Michael Reed
Larry King$Coldmoor Family$Samuel Turner                                    $6{Steven Green,Thomas Miller,Joseph Carter,Anthony Roberts,Kevin Stewart,Jason Green,Brandon Rogers,Donald Walker}$Kenneth Sanchez|Benjamin Perez|Samuel Turner|Thomas Wright|Stephen Scott|Thomas Sanchez|Michael Sanchez|James Adams|Jacob Sanchez|Benjamin Stewart|Steven Edwards|Stephen White|Joseph White|Ryan Black|Nicholas Bell|Brandon Stewart|Jonathan Howard
Daniel Sanchez$Rothearn Family$Kenneth Rogers                                   $3{Jason Cook,Larry Harris,Brandon Young,Nicholas Turner,Anthony Roberts,Joseph Campbell,Gary Nelson,Robert King,Brian Parker}$Mark Black|Thomas Sanchez|Jonathan Howard|Steven Green|Jacob Reed|Benjamin Rogers|Thomas Miller|Anthony Baker|Larry Perez
Joshua Stewart$Darkwick Family$Charles White                                    $0{Edward Rivera,Joseph Wright}$Larry Reed|Brian Evans|Andrew Edwards|Scott Howard|Brian Black|Jason Green|Justin Nelson|Jonathan Nelson|James Wright|Kevin Stewart|George Bell|Robert Stewart|Joseph Cooper|Kevin Turner
James Adams$Grimspire Family$Nicholas Bell                                    $5{Samuel Young,Robert Morgan,Samuel Nelson,James Baker,Joseph Cooper,Justin Mitchell,William Evans,Jason King,Kenneth Rogers}$Benjamin Stewart|Brandon Collins|Kenneth Sanchez|Ryan Black|James Perez|Brian Parker|Paul Stewart|James Bell|Kevin Stewart|Matthew Adams|Nicholas Turner
Michael Reed$Duskborne Family$Edward Harris                                    $4{Jason Rogers,Steven Collins,Matthew Adams,Mark Rivera,Larry King,Larry Reed,James Adams,Joseph White}$Matthew Miller|Jeffrey Bailey|Steven Edwards|William Evans|Robert Stewart|Gary Bell|David Adams|Robert Rogers|Brandon Rogers|Joseph Carter|Justin Nelson|Anthony King
Brian King$Cinderspire Family$James Perez                                      $8{Paul Stone,Kevin Turner,Brandon Rogers,William Evans,Robert Morgan,Daniel Baker,Jacob Mitchell,Mark Campbell,Joseph Campbell,Benjamin Perez,Jeffrey Nelson,Scott Howard,Timothy Scott,Gary Nelson,George Bell,Charles Morris,Gary Bell,David Adams}$Michael Cook|James Bell|Edward Phillips|James Baker|Eric Perez|Gary Reed
Samuel Bailey$Blackmoor Family II$Brandon Parker                                   $0{James Baker,Kevin Rivera,Jason Rogers,Joseph Cooper,Anthony Baker,Michael Sanchez,Steven Green,Nicholas Bell,Samuel Nelson,Steven Collins,Larry Reed,Brian Scott,Stephen White,Michael Cook,Jacob Mitchell,Justin Young}$Jacob Adams|Brian King|Jacob Reed|Brian Parker|Joseph White|Thomas Reed|Gary Nelson|Gary Reed|Charles White|Robert Rogers|Jason Cook|Brian Evans
Paul Stewart$Cinderhall Family$Kevin Howard                                     $3{Edward Harris,Jeffrey Bailey,Michael Cook,David Adams,Anthony King,Thomas Sanchez,Brian King,Larry Harris,Gary Reed,Samuel Young,Brian Parker}$Edward Rivera|Larry Hill|Daniel Sanchez|James Adams|Benjamin Adams|George Cook|Larry Reed|Joseph Wright|Mark Rivera|James Cook
Steven Bell$Dreadshade Family$Jacob Adams                                      $5{Samuel Young,Samuel Turner,James Baker,Kenneth Rogers,Benjamin Rogers,William Murphy,George Cook,Jason Rogers,Brandon Stewart}$Samuel Bailey|Justin Mitchell|Edward Phillips|David Adams|Charles Morris
Gary Nelson$Bleakspire Family$Justin Nelson                                    $3{Jonathan Harris,Brian Parker,Samuel Turner,Michael Reed,Scott Howard,Jason Turner,Thomas Carter}$Jeffrey Bailey|Mark Black|Thomas Reed|Larry Perez|James Wright|Kevin Howard|Robert King|Robert Rogers|Michael Sanchez|Richard Stewart|Benjamin Adams|Eric Perez|Robert Phillips|Larry King|Robert Morgan|Samuel Nelson|Brian Evans|Stephen White|Larry Hill
Anthony Green$Blackshade Family$Jacob Green                                      $3{David Adams,Robert Rogers,Eric Sanchez,Ryan Black,Brandon Rogers,Eric Perez,Larry King,Kenneth Rogers,Matthew Black,Larry Reed,Thomas Carter,Jeffrey Bailey,Brandon Young,Brandon Stewart,Samuel Turner,Ryan Collins}$James Adams|Jason Green
Larry Reed$Ravenfall Family$Jason King                                       $3{Samuel Nelson,Kevin Turner,Jonathan Howard,Jacob Sanchez,Brandon Parker,Jonathan Harris,George Cook,Ryan Collins,Kevin Stewart}$Jeffrey Nelson|Donald Walker|Robert Rogers|Nicholas Turner
Jonathan Nelson$Coldshade Family$Richard Stewart                                  $2{Kenneth Rogers,Brandon Young,Timothy Howard,Jacob Green,James Baker,Mark Campbell,Jason King,Jason Green,James Wright}$Nicholas Turner|Thomas Miller|Charles Morris|George King|Benjamin Stewart|Paul Stewart|David Adams|Brian Scott|Jason Cook|Edward Harris|Paul Stone|William Murphy|Jacob Adams|Kevin Turner|Stephen White|Robert Rogers|Brandon Stewart|Michael Reed|Joseph Cooper
Jason Cook$Skullfen Family$Anthony Roberts                                  $4{Brian Parker,Anthony King,Larry King,William Roberts,Robert Phillips,Kevin Stewart,Kevin Miller,Edward Harris,Justin Young,Brandon Parker,Daniel Sanchez,Samuel Bailey,Mark Campbell,Kevin Green,Daniel Baker}$Jason Morris|Larry Perez|Richard Stewart
Joseph Turner$Cinderspire Family$Jonathan Nelson                                  $6{Jason Morris,Andrew Edwards}$Benjamin Stewart|Thomas Wright
James Wright$Bloodmoor Family$Kevin Rivera                                     $0{George Bell,Mark Rivera,Robert Phillips,Michael Reed,Thomas Carter,Gary Reed,Daniel Baker,Thomas Wright}$Kevin Green|Joseph White|Joseph Wright|Robert Wright|Joseph Campbell|William Murphy|Brian King|Jason Cook|Benjamin Adams|Steven Edwards|Brandon Collins|Robert Stewart|Stephen White|James Baker|Brian Evans
Kenneth Rogers$Vilemoor Family$Jason Cook                                       $6{Jeffrey Nelson,James Bell,Jacob Adams,Andrew Edwards,Thomas Lopez,Edward Harris,Joseph Cooper,Stephen Scott,Robert Stewart,Donald Walker,Benjamin Stewart,Jeffrey Bailey,Justin Young,Steven Green,Michael Sanchez}$Brian Evans|Benjamin Rogers|Thomas Carter|Kevin Green|Brian Scott|Paul Stewart|Jonathan Howard|Steven Bell|Charles Morris|Jacob Sanchez|Timothy Howard|Eric Perez|Eric Sanchez|Joseph Carter
Robert King$Coldmoor Family$William Roberts                                  $2{James Baker,William Murphy,Joseph Wright,Charles White,Brandon Rogers,James Perez,Jason Morris}$David Adams|Jason King|Michael Reed|Robert Phillips|Stephen White
James Cook$Nightfall Family$Jason Green                                      $0{Edward Phillips,Richard Stewart,Jason King,Benjamin Stewart,Eric Perez,Daniel Sanchez,Robert Phillips,Matthew Evans,Jacob Mitchell,Stephen Scott,Jonathan Harris,Kenneth Rogers,Samuel Nelson,Daniel Baker}$Mark Black|William Roberts|Steven Collins|Larry Perez
Jacob Adams$Wraithfall Family II$George Bell                                      $2{Benjamin Rogers,Brian Evans}$Thomas Reed|Jason King|Jonathan Nelson|Thomas Wright|Joseph Campbell|Jacob Reed|Kenneth Sanchez
Matthew Evans$Deadshade Family$Thomas Carter                                    $3{William Evans,Donald Walker,Justin Mitchell}$Timothy Howard|Michael Reed|David Bell|Jason King|Ryan Collins
Jonathan Howard$Rotshade Family$Brandon Parker                                   $5{Matthew Carter,Robert Stewart,James Perez,Kevin Rivera,Brian Black,Stephen White,Mark Campbell}$Kevin Turner|Anthony Baker|Benjamin Adams|Robert Rogers|Jason King|Edward Rivera|Joseph Turner|Brandon Parker|Justin Young|Jason Cook|Brian Scott|Michael Cook|Andrew Edwards|Joseph Campbell|Joseph Cooper|Samuel Young|Anthony Green|Justin Nelson|Thomas Sanchez
Donald Walker$Nightmoor Family II$Mark Campbell                                    $8{Eric Sanchez,Robert Wright,Steven Collins,Larry King,Jonathan Nelson,Brian Evans,Anthony Baker,Anthony Roberts,Edward Phillips}$William Murphy|Thomas Miller|Nicholas Bell|Kenneth Rogers|Eric Perez|Robert King|Edward Harris
Brandon Rogers$Ruinmoor Family$William Murphy                                   $2{Jeffrey Bailey,Richard Stewart,Timothy Howard,Brandon Edwards,James Perez,Kevin Green,Eric Perez,Matthew Miller,Robert King,Jason Morris}$Paul Murphy|Daniel Baker|Thomas Wright|Timothy Scott|Brian King|Benjamin Perez|Jason King
Michael Sanchez$Nightwick Family$Daniel Baker                                     $8{James Cook,Mark Black,Steven Collins,James Perez}$Anthony Baker|Benjamin Rogers|Timothy Howard|Samuel Turner|Matthew Evans|Joseph Cooper|Kevin Turner|Daniel Baker|Charles Morris|Kevin Stewart|Steven Edwards|Edward Phillips|Kevin Green|Timothy Scott|Robert Wright|Brandon Rogers|Matthew Black|Justin Young
Brandon Collins$Ruinspire Family II$William Evans                                    $8{Thomas Wright,Brian Scott,Donald Walker,Michael Reed,Anthony Green,Robert Wright,Brandon Rogers,Mark Rivera,Jacob Adams,Thomas Reed,Brian Parker}$Jonathan Harris|Stephen Scott|James Cook|Samuel Bailey
Brian Parker$Grimfen Family$Edward Harris                                    $5{Larry Hill,James Perez,Kevin Rivera}$James Adams|Brandon Edwards|Thomas Carter|William Evans|Mark Campbell|Kenneth Sanchez|Robert Phillips|Charles Morris|Robert Morgan|Samuel Nelson|Anthony King|Matthew Evans|George Bell
Charles Morris$Gravewick Family$Thomas Wright                                    $8{George Bell,Jason Green,Justin Nelson}$Larry Perez|Michael Cook|Steven Edwards|Joseph Wright|Benjamin Rogers|Paul Stewart|Matthew Miller|Robert King|Joseph Cooper|Matthew Black|Thomas Reed|Anthony Green|Matthew Carter|James Adams|Brandon Young|Eric Sanchez
Larry Perez$Ironmoor Family$Larry Hill                                       $4{Nicholas Turner,Steven Green,Samuel Nelson,Paul Stone,Jason Cook,James Wright,Jason King,Brandon Young,Kevin Miller,Joseph Cooper,Brandon Collins,Donald Walker}$Anthony King|Joshua Stewart|Brandon Stewart|Steven Collins|Andrew Edwards|William Roberts|Anthony Green|George King|Matthew Black|Kevin Rivera
George King$Wraithwick Family$Robert Stewart                                   $1{Joseph Wright,David Bell,Nicholas Turner,Justin Mitchell,Samuel Young,Benjamin Stewart,Steven Edwards,Nicholas Bell,Donald Walker,Richard Stewart,Kevin Green,Joseph Carter,Jason Cook,James Bell,William Murphy,Jacob Sanchez,Brandon Parker}$Brandon Stewart|Brian Scott|George Bell|James Baker
Jacob Sanchez$Darkshade Family$Jacob Mitchell                                   $5{Robert Stewart,Thomas Wright,Matthew Black,Samuel Turner,Joseph Cooper,Brandon Stewart,Paul Stone,Edward Rivera}$Brian Parker|Brandon Edwards|Jason Morris|Anthony Roberts|Brandon Young|Stephen White|Brian Scott|Robert Phillips|Jacob Reed|Jonathan Harris
James Perez$Grimshade Family$George King                                      $0{Robert King,Gary Bell,Paul Stewart,Matthew Miller}$William Roberts|Jacob Reed|Charles Morris|Matthew Adams|Kenneth Sanchez|Mark Black|Edward Harris|Anthony King|Matthew Black|Kevin Howard|Anthony Green|Brian Evans|Brandon Young|Jacob Mitchell
Stephen Scott$Frostwick Family$Matthew Evans                                    $2{Brian Black,Gary Nelson,Steven Green,Anthony King}$Paul Stone|Benjamin Adams|Justin Nelson|Brandon Edwards|Kevin Green|Charles Morris
Anthony Baker$Hollowfen Family$Anthony King                                     $3{Kevin Turner,Brandon Young}$Ryan Collins|Jacob Adams|Robert Rogers|Richard Stewart|Eric Perez|Jason Cook|Jacob Reed|Mark Black|Samuel Nelson|Timothy Howard|Mark Rivera|Thomas Lopez|Michael Cook|Jonathan Harris|George Cook|Andrew Edwards|Jason Green|Jason Rogers
Thomas Carter$Ruinfall Family$Eric Sanchez                                     $5{Brandon Stewart,Robert Morgan,Larry Reed,Matthew Carter,Robert Wright,Timothy Howard,Jason Green,Gary Reed,Edward Harris,Steven Green,Matthew Black,Joshua Stewart,Kevin Howard,Steven Edwards,Joseph Carter,Benjamin Stewart}$Daniel Sanchez|Edward Rivera|Jacob Sanchez|Charles Morris|George Bell|Jacob Reed|Joseph Cooper
Jason King$Frostfen Family$Charles White                                    $4{Donald Walker,Gary Nelson,Matthew Carter,Michael Sanchez,Robert Morgan}$Kevin Turner|Joseph Wright|Jacob Green|Jacob Adams|Eric Perez|Justin Young|William Murphy|Larry Hill|Robert Stewart|Daniel Baker|Timothy Howard|Michael Cook|Robert Phillips|Andrew Edwards|David Adams|Joseph Campbell|Brandon Young
Paul Stone$Dreadfall Family$Jacob Reed                                       $2{Paul Stewart,Jason Rogers,Thomas Carter,Ryan Collins,Robert Morgan,Kevin Stewart,Matthew Black,Larry King,Steven Collins,Benjamin Perez,Jacob Adams,James Bell,David Bell}$William Murphy|Timothy Scott|Larry Reed|Jonathan Howard|Jacob Mitchell|Robert Phillips|Kevin Green|Joseph Turner|Jacob Sanchez
Kevin Turner$Coldwick Family$James Perez                                      $5{Thomas Wright,George Bell,Brandon Collins,George Cook}$Robert King|Jacob Green|James Bell
Steven Collins$Dreadmoor Family$Joshua Stewart                                   $7{Joseph Campbell,Timothy Howard,Daniel Sanchez,Justin Mitchell,Brian Evans,Timothy Scott,George Bell,Samuel Turner,David Bell}$Brandon Collins|Jason Green
Brian Evans$Nightwick Family$Anthony Green                                    $8{Joseph Carter,Anthony Baker,Brandon Edwards,Kevin Green,Edward Harris,David Adams,Samuel Bailey,Brandon Parker,Paul Murphy,Richard Stewart,Steven Green,Timothy Howard,Joseph Cooper,Daniel Baker}$Kevin Turner|Thomas Sanchez|Larry Reed|Joseph Turner|Ryan Collins
Brian Scott$Darkmoor Family$Paul Stone                                       $7{George Cook,James Cook,Benjamin Stewart,Brian Parker,William Roberts,Larry Harris,Matthew Evans,Benjamin Adams,Samuel Bailey}$Gary Bell|Brandon Edwards|Thomas Wright|Scott Howard
Joseph White$Ironmoor Family$Ryan Collins                                     $8{Samuel Turner,Andrew Edwards,David Bell,Steven Collins,Justin Young,Steven Green,Robert King,Robert Wright,Brandon Parker,Thomas Lopez,Robert Stewart,Stephen White,Daniel Sanchez,Mark Black}$James Baker|Michael Cook|Charles White|Nicholas Turner|Kevin Howard|Jason Turner|Brandon Stewart|Thomas Miller|Jacob Green|Anthony Green|Jonathan Harris|Matthew Miller|Thomas Sanchez
Timothy Scott$Ironfen Family II$Brian Black                                      $2{Matthew Miller,Joseph Carter,Benjamin Perez,Paul Murphy,Larry King,Timothy Howard,Brandon Edwards,Jonathan Harris,Anthony Green,Edward Harris,James Baker}$Justin Young|Benjamin Stewart|Gary Bell|Michael Sanchez|Brandon Rogers|Jason Morris|Thomas Wright|Thomas Sanchez|Robert Stewart|Anthony King|Paul Stewart
Kenneth Sanchez$Rotfen Family$Thomas Reed                                      $7{Robert Rogers,Jason Morris,Brandon Stewart,Robert King,Benjamin Perez,Paul Stewart,James Cook,James Baker,Joseph Carter}$Donald Walker|Joseph White|Jason Rogers|Mark Campbell|Nicholas Bell|Brandon Rogers|Charles White|Gary Reed|Jacob Adams|Ryan Black|William Evans|Samuel Young|Robert Stewart|Stephen Scott|Jonathan Harris|Robert Wright|Brandon Collins
Joseph Wright$Deadwick Family$Thomas Miller                                    $4{Thomas Sanchez,Samuel Young,Jacob Adams,Robert Phillips,Jonathan Harris,Jacob Reed,Paul Murphy,Robert King,Kevin Howard,Matthew Carter,Larry Harris,Paul Stewart,Larry Reed,Michael Sanchez,David Adams}$David Bell|Steven Collins|James Perez|Joseph Carter|Steven Green|Jason Cook|Samuel Turner|Robert Stewart
Kevin Rivera$Ashenmere Family$James Bell                                       $6{Jason Rogers,Edward Rivera,James Adams,Anthony Green,Brandon Collins,Jacob Mitchell,Kevin Howard,Edward Harris,Matthew Carter,Samuel Turner}$Anthony Baker|Kenneth Sanchez|Paul Stone
